id,title,introducao,link
40319,IBGE divulga em Fortaleza em 14 de junho os resultados do Censo Demográfico 2022: Cadastro Nacional de Endereços para Fins Estatísticos,"O Instituto Brasileiro de Geografia e Estatística (IBGE) divulgará no dia 14 de junho, às 10h, os resultados do Censo Demográfico 2022: Cadastro Nacional de Endereços para Fins Estatísticos (CNEFE), na sede do Banco do Nordeste, em Fortaleza (CE),...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40319-ibge-divulga-em-fortaleza-em-14-de-junho-os-resultados-do-censo-demografico-2022-cadastro-nacional-de-enderecos-para-fins-estatistico.html
40267,IBGE atualiza Base de Faces de Logradouros com dados do Censo 2022,A Base de Faces de Logradouros é totalmente atualizada a cada Censo Demográfico O IBGE lança hoje (07) a Base de Faces de Logradouros 2022 em formato digital. O produto consiste na representação gráfica das linhas que simbolizam os arruamentos das áreas...,http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40267-noticia-base-de-logradouros-censo-2022.html
40303,"Na Semana do Meio Ambiente, IBGE divulga os avanços do Sistema Brasileiro de Classificação do Relevo","Publicação traz conceituação das cinco grandes classes de relevo do país: montanhas, planaltos, tabuleiros, superfícies rebaixadas e planícies - Foto: Mockup sobre imagem Freepik Em comemoração ao Dia Mundial do Meio Ambiente, o IBGE divulga hoje (6) o...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40303-na-semana-do-meio-ambiente-ibge-divulga-os-avancos-do-sistema-brasileiro-de-classificacao-do-relevo.html
40292,Abate de bovinos atinge recorde enquanto frangos e suínos têm queda no 1º trimestre,"Abate de bovinos cresce 24,6% no primeiro trimestre e atinge recorde da série histórica - Foto: Licia Rubinstein O abate de bovinos chegou a 9,30 milhões de cabeças no 1º trimestre de 2024, alta de 24,6% em relação ao mesmo período do ano anterior, e...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40292-abate-de-bovinos-atinge-recorde-enquanto-frangos-e-suinos-tem-queda-no-1-trimestre.html
40298,Abate de bovinos atinge recorde na série histórica; frangos e suínos têm queda,"Os resultados da produção animal no 1º trimestre de 2024 apontam que o abate de bovinos subiu 24,6%, o de suínos caiu 1,6% e o de frangos teve queda de 1,2% ante o mesmo período de 2023. Frente ao 4º trimestre de 2023, o abate de bovinos cresceu 1,6%, o...",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/40298-abate-de-bovinos-atinge-recorde-na-serie-historica-frangos-e-suinos-tem-queda.html
40304,MPO e professora da Universidade de Columbia visitam Casa Brasil IBGE e tratam de parcerias,"O secretário de Articulação Institucional do Ministério do Planejamento e Orçamento (MPO), João Villaverde, e o chefe da Assessoria de Participação Social e Diversidade, Anderson Quack, acompanhados pela professora-adjunta da Escola de Relações...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40304-mpo-e-professora-da-universidade-de-columbia-visitam-casa-brasil-ibge-e-tratam-de-parcerias.html
40265,"Produção industrial recua 0,5% em abril","Em abril de 2024, a produção industrial nacional recuou 0,5% frente a março, na série com ajuste sazonal, interrompendo dois meses consecutivos de alta, período em que acumulou expansão de 1,0%. A média móvel trimestral teve variação positiva de 0,2% no...",http://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/40265-producao-industrial-recua-0-5-em-abril.html
40266,"Produção industrial recua 0,5% em abril após dois meses em alta","Queda na produção das indústrias extrativas leva o índice da produção industrial nacional para o campo negativo - Foto: Agência Vale A produção industrial recuou 0,5% na passagem de março para abril, interrompendo dois meses consecutivos de crescimento,...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40266-producao-industrial-recua-0-5-em-abril-apos-dois-meses-em-alta.html
40246,IBGE lança o segundo treinamento do SINGED Lab para o Rio Grande do Sul,"Inscrições são gratuitas e devem ser feitas até dia 06 de junho, pelo site da livraria do IBGE O Instituto Brasileiro de Geografia e Estatística (IBGE) realizará em 7 de junho, das 8h às 12h, o segundo treinamento do SINGED Lab voltado a gestores...",http://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/40246-ibge-lanca-o-segundo-treinamento-do-singed-lab-para-o-rio-grande-do-sul.html
